# GA run_dir=experiments/ga_shelter/20260311-152153_0035b64b
#S2 0.380, 0.40, ngen=200 pop_n=70 tournsize=3
gen=35 nevals=43 stats={'avg': np.float64(238.38571428571427), 'std': np.float64(17.667801914493943), 'min': np.float64(228.0), 'max': np.float64(300.0)} top3=[([22, 55, 59, 33, 14, 28], (228.0,)), ([32, 55, 59, 33, 14, 28], (233.0,)), ([32, 55, 59, 33, 14, 28], (233.0,))] overall_top3=[([22, 55, 59, 33, 14, 28], (228.0,), 35), ([32, 55, 59, 33, 14, 28], (233.0,), 27), ([32, 55, 59, 33, 14, 25], (234.0,), 25)]
gen=36 nevals=35 stats={'avg': np.float64(236.5), 'std': np.float64(14.41105726269143), 'min': np.float64(228.0), 'max': np.float64(300.0)} top3=[([22, 55, 59, 33, 14, 28], (228.0,)), ([22, 55, 59, 33, 14, 28], (228.0,)), ([22, 55, 59, 33, 14, 28], (228.0,))] overall_top3=[([22, 55, 59, 33, 14, 28], (228.0,), 35), ([32, 55, 59, 33, 14, 28], (233.0,), 27), ([32, 55, 59, 33, 14, 25], (234.0,), 25)]
gen=37 nevals=48 stats={'avg': np.float64(236.82142857142858), 'std': np.float64(17.016805918663746), 'min': np.float64(228.0), 'max': np.float64(300.0)} top3=[([22, 55, 59, 33, 14, 28], (228.0,)), ([22, 55, 59, 33, 14, 28], (228.0,)), ([22, 55, 59, 33, 14, 28], (228.0,))] overall_top3=[([22, 55, 59, 33, 14, 28], (228.0,), 35), ([32, 55, 59, 33, 14, 28], (233.0,), 27), ([32, 55, 59, 33, 14, 25], (234.0,), 25)]
gen=38 nevals=41 stats={'avg': np.float64(236.25714285714287), 'std': np.float64(16.579406946386158), 'min': np.float64(228.0), 'max': np.float64(300.0)} top3=[([22, 55, 59, 33, 14, 28], (228.0,)), ([22, 55, 59, 33, 14, 28], (228.0,)), ([22, 55, 59, 33, 14, 28], (228.0,))] overall_top3=[([22, 55, 59, 33, 14, 28], (228.0,), 35), ([32, 55, 59, 33, 14, 28], (233.0,), 27), ([32, 55, 59, 33, 14, 25], (234.0,), 25)]
gen=39 nevals=39 stats={'avg': np.float64(237.12857142857143), 'std': np.float64(20.543279351910016), 'min': np.float64(228.0), 'max': np.float64(300.0)} top3=[([22, 55, 59, 33, 14, 28], (228.0,)), ([22, 55, 59, 33, 14, 28], (228.0,)), ([22, 55, 59, 33, 14, 28], (228.0,))] overall_top3=[([22, 55, 59, 33, 14, 28], (228.0,), 35), ([32, 55, 59, 33, 14, 28], (233.0,), 27), ([32, 55, 59, 33, 14, 25], (234.0,), 25)]
gen=40 nevals=48 stats={'avg': np.float64(228.87142857142857), 'std': np.float64(4.140122249994313), 'min': np.float64(228.0), 'max': np.float64(261.0)} top3=[([22, 55, 59, 33, 14, 28], (228.0,)), ([22, 55, 59, 33, 14, 28], (228.0,)), ([22, 55, 59, 33, 14, 28], (228.0,))] overall_top3=[([22, 55, 59, 33, 14, 28], (228.0,), 35), ([32, 55, 59, 33, 14, 28], (233.0,), 27), ([32, 55, 59, 33, 14, 25], (234.0,), 25)]
gen=41 nevals=48 stats={'avg': np.float64(234.38571428571427), 'std': np.float64(19.274922906751783), 'min': np.float64(228.0), 'max': np.float64(301.0)} top3=[([22, 55, 59, 33, 14, 28], (228.0,)), ([22, 55, 59, 33, 14, 28], (228.0,)), ([22, 55, 59, 33, 14, 28], (228.0,))] overall_top3=[([22, 55, 59, 33, 14, 28], (228.0,), 35), ([32, 55, 59, 33, 14, 28], (233.0,), 27), ([32, 55, 59, 33, 14, 25], (234.0,), 25)]
gen=42 nevals=50 stats={'avg': np.float64(236.1), 'std': np.float64(22.478338779494234), 'min': np.float64(228.0), 'max': np.float64(300.0)} top3=[([22, 55, 59, 33, 14, 28], (228.0,)), ([22, 55, 59, 33, 14, 28], (228.0,)), ([22, 55, 59, 33, 14, 28], (228.0,))] overall_top3=[([22, 55, 59, 33, 14, 28], (228.0,), 35), ([32, 55, 59, 33, 14, 28], (233.0,), 27), ([32, 55, 59, 33, 14, 25], (234.0,), 25)]
gen=43 nevals=46 stats={'avg': np.float64(238.2), 'std': np.float64(23.700271246187402), 'min': np.float64(228.0), 'max': np.float64(300.0)} top3=[([22, 55, 59, 33, 14, 28], (228.0,)), ([22, 55, 59, 33, 14, 28], (228.0,)), ([22, 55, 59, 33, 14, 28], (228.0,))] overall_top3=[([22, 55, 59, 33, 14, 28], (228.0,), 35), ([32, 55, 59, 33, 14, 28], (233.0,), 27), ([32, 55, 59, 33, 14, 25], (234.0,), 25)]
gen=44 nevals=49 stats={'avg': np.float64(238.94285714285715), 'std': np.float64(24.11335475521854), 'min': np.float64(228.0), 'max': np.float64(300.0)} top3=[([22, 55, 59, 33, 14, 28], (228.0,)), ([22, 55, 59, 33, 14, 28], (228.0,)), ([22, 55, 59, 33, 14, 28], (228.0,))] overall_top3=[([22, 55, 59, 33, 14, 28], (228.0,), 35), ([32, 55, 59, 33, 14, 28], (233.0,), 27), ([32, 55, 59, 33, 14, 25], (234.0,), 25)]
