# GA run_dir=experiments/ga_shelter/20260311-112311_85911e49
#S3 0.380, 0.40, ngen=200 pop_n=70 tournsize=3
gen=32 nevals=44 stats={'avg': np.float64(220.2), 'std': np.float64(24.713559031430496), 'min': np.float64(212.0), 'max': np.float64(300.0)} top3=[([38, 49, 0, 23, 28, 52], (212.0,)), ([38, 49, 0, 23, 28, 52], (212.0,)), ([38, 49, 0, 23, 28, 52], (212.0,))] overall_top3=[([38, 49, 0, 23, 28, 52], (212.0,), 24), ([33, 49, 0, 23, 28, 52], (213.0,), 17), ([33, 49, 0, 35, 56, 52], (214.0,), 9)]
gen=33 nevals=45 stats={'avg': np.float64(220.67142857142858), 'std': np.float64(24.573924291859473), 'min': np.float64(212.0), 'max': np.float64(300.0)} top3=[([38, 49, 0, 23, 28, 52], (212.0,)), ([38, 49, 0, 23, 28, 52], (212.0,)), ([38, 49, 0, 23, 28, 52], (212.0,))] overall_top3=[([38, 49, 0, 23, 28, 52], (212.0,), 24), ([33, 49, 0, 23, 28, 52], (213.0,), 17), ([33, 49, 0, 35, 56, 52], (214.0,), 9)]
gen=34 nevals=46 stats={'avg': np.float64(220.8), 'std': np.float64(26.400000000000006), 'min': np.float64(212.0), 'max': np.float64(300.0)} top3=[([38, 49, 0, 23, 28, 52], (212.0,)), ([38, 49, 0, 23, 28, 52], (212.0,)), ([38, 49, 0, 23, 28, 52], (212.0,))] overall_top3=[([38, 49, 0, 23, 28, 52], (212.0,), 24), ([33, 49, 0, 23, 28, 52], (213.0,), 17), ([33, 49, 0, 35, 56, 52], (214.0,), 9)]
gen=35 nevals=48 stats={'avg': np.float64(220.8), 'std': np.float64(26.400000000000006), 'min': np.float64(212.0), 'max': np.float64(300.0)} top3=[([38, 49, 0, 23, 28, 52], (212.0,)), ([38, 49, 0, 23, 28, 52], (212.0,)), ([38, 49, 0, 23, 28, 52], (212.0,))] overall_top3=[([38, 49, 0, 23, 28, 52], (212.0,), 24), ([33, 49, 0, 23, 28, 52], (213.0,), 17), ([33, 49, 0, 35, 56, 52], (214.0,), 9)]
gen=36 nevals=45 stats={'avg': np.float64(219.18571428571428), 'std': np.float64(23.626433656964373), 'min': np.float64(212.0), 'max': np.float64(300.0)} top3=[([38, 49, 0, 23, 28, 52], (212.0,)), ([38, 49, 0, 23, 28, 52], (212.0,)), ([38, 49, 0, 23, 28, 52], (212.0,))] overall_top3=[([38, 49, 0, 23, 28, 52], (212.0,), 24), ([33, 49, 0, 23, 28, 52], (213.0,), 17), ([33, 49, 0, 35, 56, 52], (214.0,), 9)]
gen=37 nevals=40 stats={'avg': np.float64(218.28571428571428), 'std': np.float64(22.663465160059367), 'min': np.float64(212.0), 'max': np.float64(300.0)} top3=[([38, 49, 0, 23, 28, 52], (212.0,)), ([38, 49, 0, 23, 28, 52], (212.0,)), ([38, 49, 0, 23, 28, 52], (212.0,))] overall_top3=[([38, 49, 0, 23, 28, 52], (212.0,), 24), ([33, 49, 0, 23, 28, 52], (213.0,), 17), ([33, 49, 0, 35, 56, 52], (214.0,), 9)]
gen=38 nevals=42 stats={'avg': np.float64(217.21428571428572), 'std': np.float64(19.152689372620273), 'min': np.float64(212.0), 'max': np.float64(300.0)} top3=[([38, 49, 0, 23, 28, 52], (212.0,)), ([38, 49, 0, 23, 28, 52], (212.0,)), ([38, 49, 0, 23, 28, 52], (212.0,))] overall_top3=[([38, 49, 0, 23, 28, 52], (212.0,), 24), ([33, 49, 0, 23, 28, 52], (213.0,), 17), ([33, 49, 0, 35, 56, 52], (214.0,), 9)]
gen=39 nevals=42 stats={'avg': np.float64(225.27142857142857), 'std': np.float64(29.804084776885112), 'min': np.float64(212.0), 'max': np.float64(300.0)} top3=[([38, 49, 0, 23, 28, 52], (212.0,)), ([38, 49, 0, 23, 28, 52], (212.0,)), ([38, 49, 0, 23, 28, 52], (212.0,))] overall_top3=[([38, 49, 0, 23, 28, 52], (212.0,), 24), ([33, 49, 0, 23, 28, 52], (213.0,), 17), ([33, 49, 0, 35, 56, 52], (214.0,), 9)]
gen=40 nevals=40 stats={'avg': np.float64(220.31428571428572), 'std': np.float64(24.08944217888401), 'min': np.float64(212.0), 'max': np.float64(300.0)} top3=[([38, 49, 0, 23, 28, 52], (212.0,)), ([38, 49, 0, 23, 28, 52], (212.0,)), ([38, 49, 0, 23, 28, 52], (212.0,))] overall_top3=[([38, 49, 0, 23, 28, 52], (212.0,), 24), ([33, 49, 0, 23, 28, 52], (213.0,), 17), ([33, 49, 0, 35, 56, 52], (214.0,), 9)]
gen=41 nevals=42 stats={'avg': np.float64(217.24285714285713), 'std': np.float64(18.814459268100702), 'min': np.float64(212.0), 'max': np.float64(300.0)} top3=[([38, 49, 0, 23, 28, 52], (212.0,)), ([38, 49, 0, 23, 28, 52], (212.0,)), ([38, 49, 0, 23, 28, 52], (212.0,))] overall_top3=[([38, 49, 0, 23, 28, 52], (212.0,), 24), ([33, 49, 0, 23, 28, 52], (213.0,), 17), ([33, 49, 0, 35, 56, 52], (214.0,), 9)]
gen=42 nevals=39 stats={'avg': np.float64(214.8), 'std': np.float64(14.76830583184331), 'min': np.float64(212.0), 'max': np.float64(300.0)} top3=[([38, 49, 0, 23, 28, 52], (212.0,)), ([38, 49, 0, 23, 28, 52], (212.0,)), ([38, 49, 0, 23, 28, 52], (212.0,))] overall_top3=[([38, 49, 0, 23, 28, 52], (212.0,), 24), ([33, 49, 0, 23, 28, 52], (213.0,), 17), ([33, 49, 0, 35, 56, 52], (214.0,), 9)]
gen=43 nevals=36 stats={'avg': np.float64(214.55714285714285), 'std': np.float64(14.657651063314253), 'min': np.float64(212.0), 'max': np.float64(300.0)} top3=[([38, 49, 0, 23, 28, 52], (212.0,)), ([38, 49, 0, 23, 28, 52], (212.0,)), ([38, 49, 0, 23, 28, 52], (212.0,))] overall_top3=[([38, 49, 0, 23, 28, 52], (212.0,), 24), ([33, 49, 0, 23, 28, 52], (213.0,), 17), ([33, 49, 0, 35, 56, 52], (214.0,), 9)]
