# GA run_dir=experiments/ga_shelter/20260311-103058_e3b8941a
#S1 0.380, 0.40, ngen=200 pop_n=70 tournsize=3
gen=32 nevals=45 stats={'avg': np.float64(251.64285714285714), 'std': np.float64(11.523932506230818), 'min': np.float64(240.0), 'max': np.float64(300.0)} top3=[([38, 21, 50, 59, 58, 39], (240.0,)), ([44, 21, 33, 59, 58, 39], (242.0,)), ([44, 21, 33, 59, 58, 39], (242.0,))] overall_top3=[([38, 21, 50, 59, 58, 39], (240.0,), 32), ([44, 21, 33, 59, 58, 39], (242.0,), 31), ([38, 44, 63, 29, 33, 46], (247.0,), 3)]
gen=33 nevals=47 stats={'avg': np.float64(250.0), 'std': np.float64(7.9642056370093455), 'min': np.float64(240.0), 'max': np.float64(291.0)} top3=[([38, 21, 50, 59, 58, 39], (240.0,)), ([44, 21, 33, 59, 58, 39], (242.0,)), ([44, 21, 33, 59, 58, 39], (242.0,))] overall_top3=[([38, 21, 50, 59, 58, 39], (240.0,), 32), ([44, 21, 33, 59, 58, 39], (242.0,), 31), ([38, 44, 63, 29, 33, 46], (247.0,), 3)]
gen=34 nevals=41 stats={'avg': np.float64(249.0142857142857), 'std': np.float64(8.975351735475899), 'min': np.float64(240.0), 'max': np.float64(300.0)} top3=[([38, 21, 50, 59, 58, 39], (240.0,)), ([44, 21, 33, 59, 58, 39], (242.0,)), ([44, 21, 33, 59, 58, 39], (242.0,))] overall_top3=[([38, 21, 50, 59, 58, 39], (240.0,), 32), ([44, 21, 33, 59, 58, 39], (242.0,), 31), ([38, 44, 63, 29, 33, 46], (247.0,), 3)]
gen=35 nevals=41 stats={'avg': np.float64(249.32857142857142), 'std': np.float64(11.597686257638296), 'min': np.float64(240.0), 'max': np.float64(300.0)} top3=[([38, 21, 50, 59, 58, 39], (240.0,)), ([44, 21, 33, 59, 58, 39], (242.0,)), ([44, 21, 33, 59, 58, 39], (242.0,))] overall_top3=[([38, 21, 50, 59, 58, 39], (240.0,), 32), ([44, 21, 33, 59, 58, 39], (242.0,), 31), ([38, 44, 63, 29, 33, 46], (247.0,), 3)]
gen=36 nevals=39 stats={'avg': np.float64(246.4857142857143), 'std': np.float64(9.34840377076346), 'min': np.float64(240.0), 'max': np.float64(293.0)} top3=[([38, 21, 50, 59, 58, 39], (240.0,)), ([38, 21, 50, 59, 58, 39], (240.0,)), ([44, 21, 33, 59, 58, 39], (242.0,))] overall_top3=[([38, 21, 50, 59, 58, 39], (240.0,), 32), ([44, 21, 33, 59, 58, 39], (242.0,), 31), ([38, 44, 63, 29, 33, 46], (247.0,), 3)]
gen=37 nevals=54 stats={'avg': np.float64(246.5), 'std': np.float64(11.666496597399876), 'min': np.float64(240.0), 'max': np.float64(297.0)} top3=[([38, 21, 50, 59, 58, 39], (240.0,)), ([38, 21, 50, 59, 58, 39], (240.0,)), ([38, 21, 50, 59, 58, 39], (240.0,))] overall_top3=[([38, 21, 50, 59, 58, 39], (240.0,), 32), ([44, 21, 33, 59, 58, 39], (242.0,), 31), ([38, 44, 63, 29, 33, 46], (247.0,), 3)]
gen=38 nevals=48 stats={'avg': np.float64(247.54285714285714), 'std': np.float64(15.20308776370841), 'min': np.float64(240.0), 'max': np.float64(300.0)} top3=[([38, 25, 50, 59, 58, 39], (240.0,)), ([38, 21, 50, 59, 58, 39], (240.0,)), ([38, 21, 50, 59, 58, 39], (240.0,))] overall_top3=[([38, 21, 50, 59, 58, 39], (240.0,), 32), ([38, 25, 50, 59, 58, 39], (240.0,), 38), ([44, 21, 33, 59, 58, 39], (242.0,), 31)]
gen=39 nevals=38 stats={'avg': np.float64(243.6), 'std': np.float64(7.321982557438154), 'min': np.float64(240.0), 'max': np.float64(277.0)} top3=[([38, 21, 50, 59, 58, 39], (240.0,)), ([38, 21, 50, 59, 58, 39], (240.0,)), ([38, 21, 50, 59, 58, 39], (240.0,))] overall_top3=[([38, 21, 50, 59, 58, 39], (240.0,), 32), ([38, 25, 50, 59, 58, 39], (240.0,), 38), ([44, 21, 33, 59, 58, 39], (242.0,), 31)]
gen=40 nevals=44 stats={'avg': np.float64(245.5), 'std': np.float64(12.05197079319395), 'min': np.float64(240.0), 'max': np.float64(300.0)} top3=[([38, 25, 50, 59, 58, 39], (240.0,)), ([38, 21, 50, 59, 58, 39], (240.0,)), ([38, 21, 50, 59, 58, 39], (240.0,))] overall_top3=[([38, 21, 50, 59, 58, 39], (240.0,), 32), ([38, 25, 50, 59, 58, 39], (240.0,), 38), ([44, 21, 33, 59, 58, 39], (242.0,), 31)]
gen=41 nevals=34 stats={'avg': np.float64(242.47142857142856), 'std': np.float64(8.095362744138377), 'min': np.float64(240.0), 'max': np.float64(279.0)} top3=[([38, 21, 50, 59, 58, 39], (240.0,)), ([38, 21, 50, 59, 58, 39], (240.0,)), ([38, 21, 50, 59, 58, 39], (240.0,))] overall_top3=[([38, 21, 50, 59, 58, 39], (240.0,), 32), ([38, 25, 50, 59, 58, 39], (240.0,), 38), ([44, 21, 33, 59, 58, 39], (242.0,), 31)]
gen=42 nevals=44 stats={'avg': np.float64(245.4142857142857), 'std': np.float64(15.131323100625082), 'min': np.float64(240.0), 'max': np.float64(300.0)} top3=[([38, 21, 50, 59, 58, 39], (240.0,)), ([38, 21, 50, 59, 58, 39], (240.0,)), ([38, 21, 50, 59, 58, 39], (240.0,))] overall_top3=[([38, 21, 50, 59, 58, 39], (240.0,), 32), ([38, 25, 50, 59, 58, 39], (240.0,), 38), ([44, 21, 33, 59, 58, 39], (242.0,), 31)]
