# GA run_dir=experiments\ga_shelter\20251222-142334_5219104f
# mate=0.7 mutate=0.3 ngen=200 pop_n=60 tournsize=3
gen=41 nevals=51 stats={'avg': np.float64(91.35), 'std': np.float64(23.74996491225478), 'min': np.float64(82.0), 'max': np.float64(200.0)} top3=[([67, 54, 5, 47, 69, 15], (82.0,)), ([67, 54, 2, 47, 69, 15], (84.0,)), ([67, 54, 2, 47, 69, 15], (84.0,))] overall_top3=[([67, 54, 5, 47, 69, 15], (82.0,), 41), ([67, 33, 42, 21, 61, 43], (84.0,), 1), ([67, 54, 2, 51, 69, 15], (84.0,), 28)]
gen=42 nevals=48 stats={'avg': np.float64(87.95), 'std': np.float64(18.75226652967582), 'min': np.float64(82.0), 'max': np.float64(200.0)} top3=[([67, 54, 5, 47, 69, 15], (82.0,)), ([67, 54, 2, 47, 69, 63], (83.0,)), ([67, 54, 2, 47, 69, 18], (83.0,))] overall_top3=[([67, 54, 5, 47, 69, 15], (82.0,), 41), ([67, 54, 2, 47, 69, 63], (83.0,), 42), ([67, 54, 2, 47, 69, 18], (83.0,), 42)]
gen=43 nevals=43 stats={'avg': np.float64(95.01666666666667), 'std': np.float64(31.82896566895562), 'min': np.float64(82.0), 'max': np.float64(200.0)} top3=[([67, 54, 5, 47, 69, 15], (82.0,)), ([67, 54, 5, 47, 69, 15], (82.0,)), ([67, 54, 5, 47, 69, 15], (82.0,))] overall_top3=[([67, 54, 5, 47, 69, 15], (82.0,), 41), ([67, 54, 2, 47, 69, 63], (83.0,), 42), ([67, 54, 2, 47, 69, 18], (83.0,), 42)]
gen=44 nevals=45 stats={'avg': np.float64(86.46666666666667), 'std': np.float64(13.98030360503265), 'min': np.float64(82.0), 'max': np.float64(185.0)} top3=[([67, 54, 5, 47, 69, 15], (82.0,)), ([67, 54, 5, 47, 69, 15], (82.0,)), ([67, 54, 5, 47, 69, 15], (82.0,))] overall_top3=[([67, 54, 5, 47, 69, 15], (82.0,), 41), ([67, 54, 2, 47, 69, 63], (83.0,), 42), ([67, 54, 2, 47, 69, 18], (83.0,), 42)]
gen=45 nevals=46 stats={'avg': np.float64(85.6), 'std': np.float64(13.968058800945341), 'min': np.float64(81.0), 'max': np.float64(189.0)} top3=[([67, 54, 5, 47, 69, 63], (81.0,)), ([67, 54, 5, 47, 69, 15], (82.0,)), ([67, 54, 5, 47, 69, 15], (82.0,))] overall_top3=[([67, 54, 5, 47, 69, 63], (81.0,), 45), ([67, 54, 5, 47, 69, 15], (82.0,), 41), ([67, 54, 2, 47, 69, 63], (83.0,), 42)]
gen=46 nevals=52 stats={'avg': np.float64(86.21666666666667), 'std': np.float64(17.26179950706826), 'min': np.float64(81.0), 'max': np.float64(200.0)} top3=[([67, 54, 5, 47, 69, 63], (81.0,)), ([67, 54, 5, 47, 69, 63], (81.0,)), ([67, 54, 5, 47, 69, 63], (81.0,))] overall_top3=[([67, 54, 5, 47, 69, 63], (81.0,), 45), ([67, 54, 5, 47, 69, 15], (82.0,), 41), ([67, 54, 2, 47, 69, 63], (83.0,), 42)]
gen=47 nevals=44 stats={'avg': np.float64(85.86666666666666), 'std': np.float64(19.974539349437375), 'min': np.float64(81.0), 'max': np.float64(200.0)} top3=[([67, 54, 5, 47, 69, 63], (81.0,)), ([67, 54, 5, 47, 69, 63], (81.0,)), ([67, 54, 5, 47, 69, 63], (81.0,))] overall_top3=[([67, 54, 5, 47, 69, 63], (81.0,), 45), ([67, 54, 5, 47, 69, 15], (82.0,), 41), ([67, 54, 2, 47, 69, 63], (83.0,), 42)]
gen=48 nevals=51 stats={'avg': np.float64(89.15), 'std': np.float64(25.485175429387702), 'min': np.float64(81.0), 'max': np.float64(200.0)} top3=[([67, 54, 5, 47, 69, 63], (81.0,)), ([67, 54, 5, 47, 69, 63], (81.0,)), ([67, 54, 5, 47, 69, 63], (81.0,))] overall_top3=[([67, 54, 5, 47, 69, 63], (81.0,), 45), ([67, 54, 5, 47, 69, 15], (82.0,), 41), ([67, 54, 2, 47, 69, 63], (83.0,), 42)]
gen=49 nevals=50 stats={'avg': np.float64(89.55), 'std': np.float64(27.510861491418257), 'min': np.float64(81.0), 'max': np.float64(200.0)} top3=[([67, 54, 5, 47, 69, 63], (81.0,)), ([67, 54, 5, 47, 69, 63], (81.0,)), ([67, 54, 5, 47, 69, 63], (81.0,))] overall_top3=[([67, 54, 5, 47, 69, 63], (81.0,), 45), ([67, 54, 5, 47, 69, 15], (82.0,), 41), ([67, 54, 2, 47, 69, 63], (83.0,), 42)]
gen=50 nevals=47 stats={'avg': np.float64(82.35), 'std': np.float64(6.6277824345704035), 'min': np.float64(81.0), 'max': np.float64(118.0)} top3=[([67, 54, 5, 47, 69, 63], (81.0,)), ([67, 54, 5, 47, 69, 63], (81.0,)), ([67, 54, 5, 47, 69, 63], (81.0,))] overall_top3=[([67, 54, 5, 47, 69, 63], (81.0,), 45), ([67, 54, 5, 47, 69, 15], (82.0,), 41), ([67, 54, 2, 47, 69, 63], (83.0,), 42)]

gen=51 nevals=50 stats={'avg': np.float64(86.25), 'std': np.float64(15.118008025750836), 'min': np.float64(81.0), 'max': np.float64(158.0)} top3=[([67, 54, 5, 47, 69, 63], (81.0,)), ([67, 54, 5, 47, 69, 63], (81.0,)), ([67, 54, 5, 47, 69, 63], (81.0,))] overall_top3=[([67, 54, 5, 47, 69, 63], (81.0,), 45), ([67, 54, 5, 47, 69, 15], (82.0,), 41), ([67, 54, 2, 47, 69, 63], (83.0,), 42)]
gen=52 nevals=56 stats={'avg': np.float64(82.83333333333333), 'std': np.float64(7.84892066182068), 'min': np.float64(81.0), 'max': np.float64(132.0)} top3=[([67, 54, 5, 47, 69, 63], (81.0,)), ([67, 54, 5, 47, 69, 63], (81.0,)), ([67, 54, 5, 47, 69, 63], (81.0,))] overall_top3=[([67, 54, 5, 47, 69, 63], (81.0,), 45), ([67, 54, 5, 47, 69, 15], (82.0,), 41), ([67, 54, 2, 47, 69, 63], (83.0,), 42)]
gen=53 nevals=53 stats={'avg': np.float64(86.5), 'std': np.float64(22.092608115234682), 'min': np.float64(81.0), 'max': np.float64(200.0)} top3=[([67, 54, 5, 47, 69, 63], (81.0,)), ([67, 54, 5, 47, 69, 63], (81.0,)), ([67, 54, 5, 47, 69, 63], (81.0,))] overall_top3=[([67, 54, 5, 47, 69, 63], (81.0,), 45), ([67, 54, 5, 47, 69, 15], (82.0,), 41), ([67, 54, 2, 47, 69, 63], (83.0,), 42)]
gen=54 nevals=45 stats={'avg': np.float64(87.48333333333333), 'std': np.float64(23.60684340515596), 'min': np.float64(81.0), 'max': np.float64(200.0)} top3=[([67, 54, 5, 47, 69, 63], (81.0,)), ([67, 54, 5, 47, 69, 63], (81.0,)), ([67, 54, 5, 47, 69, 63], (81.0,))] overall_top3=[([67, 54, 5, 47, 69, 63], (81.0,), 45), ([67, 54, 5, 47, 69, 15], (82.0,), 41), ([67, 54, 2, 47, 69, 63], (83.0,), 42)]
